DATA_FILE, n, d, k, p:
../artificial/data/10000_2_05.txt 10000 2 2 20
ANTICLUSTERING_REP: 100

ANTICLUSTERING_THREADS: 1

PARTITION_THREADS: 1
BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 1
BRANCH_AND_BOUND_MAX_NODES: 1
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 2
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/aelle/mr-sos-sdp/SDPNAL
SDP_SOLVER_TOL: 0.0001
SDP_SOLVER_VERBOSE: 0
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 0.0001
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.1

Initial Heuristic MSS: 4901.20

---------------------------------------------------------------------
Iteration 1
---------------------------------------------------------------------

---------------------------------------------------------------------


Anticlustering Heuristic


Num of swaps 0

iter | k | W | GAP perc
0 | 0 | 4882.14 | 0.38891
1 | 1 | 4882.28538 | 0.38588
1 | 1 | 4882.31807 | 0.38521
1 | 1 | 4882.37331 | 0.38408
1 | 1 | 4882.58798 | 0.37970
1 | 1 | 4882.61206 | 0.37921
1 | 1 | 4882.67932 | 0.37784
1 | 1 | 4882.68017 | 0.37782
1 | 1 | 4882.72332 | 0.37694
1 | 1 | 4882.81420 | 0.37509
1 | 1 | 4882.91319 | 0.37307
1 | 1 | 4882.92460 | 0.37284
1 | 1 | 4882.97321 | 0.37184
1 | 1 | 4882.99261 | 0.37145
1 | 1 | 4883.01646 | 0.37096
1 | 1 | 4883.03278 | 0.37063
1 | 1 | 4883.03412 | 0.37060
1 | 1 | 4883.15454 | 0.36814
1 | 1 | 4883.21223 | 0.36697
1 | 1 | 4883.38027 | 0.36354
1 | 1 | 4883.40777 | 0.36298
1 | 2 | 4883.41909 | 0.36275
1 | 2 | 4883.44861 | 0.36214
1 | 2 | 4883.47870 | 0.36153
1 | 2 | 4883.52559 | 0.36057
1 | 2 | 4883.55514 | 0.35997
1 | 2 | 4883.66074 | 0.35782
1 | 2 | 4883.71183 | 0.35677
1 | 2 | 4883.92739 | 0.35238
1 | 2 | 4883.93768 | 0.35216
1 | 2 | 4883.94928 | 0.35193
1 | 2 | 4883.95181 | 0.35188
1 | 2 | 4883.98904 | 0.35112
