0 1 37.4394 541.209 2
0 2 612.176 494.317 3
0 3 38.1312 353.148 2
0 4 53.4418 131.485 1
0 5 143.061 631.72 2
0 6 689.945 468.535 3
0 7 112.748 529.418 2
0 8 141.488 504.818 2
0 9 661.051 445.938 3
0 10 98.7899 384.593 2
0 11 697.388 180.396 3
0 12 536.489 287.228 3
0 13 192.407 20.4394 1
0 14 282.787 229.8 1
0 15 240.825 281.514 1
0 16 246.928 322.461 1
0 17 649.731 62.3332 3
0 18 352.966 666.787 2
0 19 633.392 534.94 3
0 20 488.312 437.487 3
0 21 141.404 228.433 1
0 22 17.3633 240.241 1
0 23 397.559 231.359 1
0 24 565.785 282.386 3
0 25 475.898 468.539 3
0 26 322.422 550.317 2
0 27 397.559 74.7588 1
0 28 672.862 432.883 3
0 29 571.219 530.262 3
0 30 104.653 482.822 2
0 31 356.71 67.6477 1
0 32 400.407 253.679 1
0 33 282.304 426.838 2
0 34 58.7767 507.171 2
0 35 189.751 460.382 2
0 36 659.912 226.628 3
0 37 639.031 467.23 3
0 38 415.026 233.305 1
0 39 547.266 161.659 3
0 40 616.655 339.341 3
0 41 494.859 148.122 3
0 42 629.998 433.455 3
0 43 471.101 314.222 3
0 44 138.244 137.168 1
0 45 91.5848 110.02 1
0 46 390.697 423.977 3
0 47 565.162 429.16 3
0 48 54.5249 438.552 2
0 49 334.351 153.797 1
0 50 531.029 612.387 3
0 51 475.735 385.784 3
0 52 228.833 410.446 2
0 53 578.381 321.33 3
0 54 358.917 404.467 3
0 55 486.465 593.043 3
0 56 343.169 509.312 2
0 57 530.363 137.688 3
0 58 498.807 576.21 3
0 59 224.318 312.468 1
0 60 595.836 81.813 3
0 61 661.559 217.046 3
0 62 43.6892 305.472 2
0 63 79.4653 445.964 2
0 64 210.416 130.715 1
0 65 432.264 629.409 3
0 66 623.249 69.1893 3
0 67 436.519 282.936 3
0 68 59.4163 40.128 1
0 69 630.923 230.343 3
0 70 579.327 601.036 3
0 71 117.862 112.98 1
0 72 297.791 166.313 1
0 73 22.7643 455.534 2
0 74 259.71 10.62 1
0 75 342.358 599.388 2
0 76 10.0261 488.931 2
0 77 315.293 273.228 1
0 78 220.704 270.082 1
0 79 192.119 314.184 1
0 80 271.504 225.292 1
0 81 530.732 504.067 3
0 82 42.5331 656.365 2
0 83 396.127 539.465 3
0 84 118.663 508.713 2
0 85 395.691 699.538 2
0 86 559.016 560.887 3
0 87 22.6471 526.247 2
0 88 135.638 325.841 2
0 89 141.451 485.248 2
0 90 396.774 460.756 3
0 91 87.7495 19.617 1
0 92 350.425 420.653 2
0 93 216.701 466.482 2
0 94 130.924 351.149 2
0 95 72.633 645.785 2
0 96 144.6 457.422 2
0 97 212.373 594.922 2
0 98 49.9187 541.435 2
0 99 656.694 558.111 3
0 100 176.594 648.524 2
0 101 500.383 198.743 3
0 102 634.318 612.829 3
0 103 59.7537 551.632 2
0 104 15.2146 143.044 1
0 105 283.005 376.444 2
0 106 146.539 39.4232 1
0 107 101.869 635.099 2
0 108 588.197 580.595 3
0 109 457.263 350.016 3
0 110 537.466 472.584 3
0 111 269.367 367.476 2
0 112 239.905 102.63 1
0 113 88.4678 384.051 2
0 114 658.913 583.958 3
0 115 97.7359 157.456 1
0 116 506.619 233.002 3
0 117 500.257 64.9136 1
0 118 594.405 275.874 3
0 119 66.2308 24.1317 1
0 120 598.416 414.556 3
0 121 172.309 344.396 2
0 122 299.481 251.83 1
0 123 303.838 21.0526 1
0 124 197.897 512.389 2
0 125 56.02 243.066 1
0 126 255.557 448.865 2
0 127 608.426 222.542 3
0 128 70.2723 77.9227 1
0 129 398.23 119.558 1
0 130 635.497 133.323 3
0 131 378.348 272.291 1
0 132 484.803 677.073 3
0 133 278.871 299.931 1
0 134 381.654 360.334 3
0 135 557.607 595.319 3
0 136 249.059 76.6595 1
0 137 562.905 670.038 3
0 138 398.55 392.649 3
0 139 590.894 370.741 3
0 140 558.201 0.419881 1
0 141 461.411 530.525 3
0 142 354.724 685.405 2
0 143 193.661 669.743 2
0 144 352.314 140.327 1
0 145 308.435 115.205 1
0 146 299.588 530.589 2
0 147 334.275 152.149 1
0 148 690.966 134.579 3
0 149 48.0798 270.968 1
0 150 91.6468 166.354 1
