1 2 38.1312 353.148 3
1 9 98.7899 384.593 3
1 12 192.407 20.4394 2
1 14 240.825 281.514 2
1 20 141.404 228.433 2
1 23 565.785 282.386 1
1 27 672.862 432.883 1
1 36 639.031 467.23 1
1 39 616.655 339.341 1
1 40 494.859 148.122 2
1 42 471.101 314.222 1
1 48 334.351 153.797 2
1 50 475.735 385.784 1
1 64 432.264 629.409 1
1 65 623.249 69.1893 2
1 72 22.7643 455.534 3
1 73 259.71 10.62 2
1 74 342.358 599.388 1
1 77 220.704 270.082 2
1 78 192.119 314.184 3
1 79 271.504 225.292 2
1 80 530.732 504.067 1
1 81 42.5331 656.365 3
1 84 395.691 699.538 1
1 88 141.451 485.248 3
1 89 396.774 460.756 1
1 91 350.425 420.653 1
1 93 130.924 351.149 3
1 95 144.6 457.422 3
1 96 212.373 594.922 3
1 102 59.7537 551.632 3
1 106 101.869 635.099 3
1 107 588.197 580.595 1
1 112 88.4678 384.051 3
1 113 658.913 583.958 1
1 115 506.619 233.002 2
1 117 594.405 275.874 1
1 118 66.2308 24.1317 2
1 127 70.2723 77.9227 2
1 132 278.871 299.931 2
1 133 381.654 360.334 1
1 136 562.905 670.038 1
1 139 558.201 0.419881 2
1 140 461.411 530.525 1
1 141 354.724 685.405 1
1 143 352.314 140.327 2
1 146 334.275 152.149 2
1 149 91.6468 166.354 2
2 1 612.176 494.317 3
2 4 143.061 631.72 2
2 5 689.945 468.535 3
2 13 282.787 229.8 1
2 15 246.928 322.461 1
2 16 649.731 62.3332 3
2 19 488.312 437.487 3
2 22 397.559 231.359 1
2 26 397.559 74.7588 1
2 29 104.653 482.822 2
2 30 356.71 67.6477 1
2 41 629.998 433.455 3
2 43 138.244 137.168 1
2 45 390.697 423.977 3
2 51 228.833 410.446 2
2 52 578.381 321.33 3
2 53 358.917 404.467 2
2 55 343.169 509.312 2
2 56 530.363 137.688 3
2 57 498.807 576.21 3
2 59 595.836 81.813 3
2 61 43.6892 305.472 1
2 62 79.4653 445.964 2
2 66 436.519 282.936 3
2 67 59.4163 40.128 1
2 68 630.923 230.343 3
2 71 297.791 166.313 1
2 75 10.0261 488.931 2
2 76 315.293 273.228 1
2 82 396.127 539.465 2
2 85 559.016 560.887 3
2 86 22.6471 526.247 2
2 90 87.7495 19.617 1
2 99 176.594 648.524 2
2 100 500.383 198.743 3
2 101 634.318 612.829 3
2 105 146.539 39.4232 1
2 109 537.466 472.584 3
2 110 269.367 367.476 2
2 114 97.7359 157.456 1
2 121 299.481 251.83 1
2 124 56.02 243.066 1
2 128 398.23 119.558 1
2 129 635.497 133.323 3
2 137 398.55 392.649 3
2 138 590.894 370.741 3
2 142 193.661 669.743 2
2 144 308.435 115.205 1
2 145 299.588 530.589 2
2 147 690.966 134.579 3
2 148 48.0798 270.968 1
3 0 37.4394 541.209 1
3 3 53.4418 131.485 3
3 6 112.748 529.418 1
3 7 141.488 504.818 1
3 8 661.051 445.938 2
3 10 697.388 180.396 2
3 11 536.489 287.228 2
3 17 352.966 666.787 1
3 18 633.392 534.94 2
3 21 17.3633 240.241 3
3 24 475.898 468.539 2
3 25 322.422 550.317 1
3 28 571.219 530.262 2
3 31 400.407 253.679 3
3 32 282.304 426.838 1
3 33 58.7767 507.171 1
3 34 189.751 460.382 1
3 35 659.912 226.628 2
3 37 415.026 233.305 3
3 38 547.266 161.659 2
3 44 91.5848 110.02 3
3 46 565.162 429.16 2
3 47 54.5249 438.552 1
3 49 531.029 612.387 2
3 54 486.465 593.043 2
3 58 224.318 312.468 3
3 60 661.559 217.046 2
3 63 210.416 130.715 3
3 69 579.327 601.036 2
3 70 117.862 112.98 3
3 83 118.663 508.713 1
3 87 135.638 325.841 1
3 92 216.701 466.482 1
3 94 72.633 645.785 1
3 97 49.9187 541.435 1
3 98 656.694 558.111 2
3 103 15.2146 143.044 3
3 104 283.005 376.444 1
3 108 457.263 350.016 2
3 111 239.905 102.63 3
3 116 500.257 64.9136 3
3 119 598.416 414.556 2
3 120 172.309 344.396 1
3 122 303.838 21.0526 3
3 123 197.897 512.389 1
3 125 255.557 448.865 1
3 126 608.426 222.542 2
3 130 378.348 272.291 3
3 131 484.803 677.073 2
3 134 557.607 595.319 2
3 135 249.059 76.6595 3
