1 3 64.51 -147.43 5
1 5 58.2 -134.27 5
1 8 51.03 -114.05 5
1 15 45.31 -73.34 5
1 17 44.39 -63.36 5
1 18 47.34 -52.43 5
1 19 47.36 -122.2 5
1 24 32.43 -117.09 5
1 27 39.43 -105.01 5
1 28 35.05 -106.4 5
1 31 44.59 -93.13 5
1 34 35.28 -97.32 5
1 35 32.47 -96.48 5
1 39 38.39 -90.25 5
1 42 42.2 -83.03 5
1 43 40.26 -80 5
1 48 39.57 -75.07 5
1 50 30.2 -81.4 5
1 51 25.46 -80.12 5
1 54 25.33 -103.26 5
1 59 19.24 -99.09 5
1 62 16.51 -99.55 5
1 63 17.03 -96.43 5
1 65 20.58 -89.37 5
1 67 14.38 -90.31 5
1 74 22.24 -79.58 5
1 76 18 -76.48 5
1 80 14.36 -61.05 1
1 84 4.56 -52.2 1
1 88 10.4 -71.37 1
1 95 -1.4 -78.38 1
1 104 -19.35 -65.45 1
1 109 -51.42 -57.51 1
1 113 -34.36 -58.27 1
1 117 -26.49 -65.13 1
1 121 -25.25 -49.15 1
1 124 -20.23 -43.3 1
1 127 -15.35 -56.05 1
1 137 -3.08 -60.01 1
1 142 31.38 -8 3
1 145 34.05 -4.57 3
1 162 13.11 30.13 4
1 167 18.06 -15.57 3
1 185 11.51 13.1 4
1 188 6.27 7.27 4
1 198 0.3 25.12 4
1 199 -3.23 29.22 4
1 209 -11.4 27.28 4
1 211 -15.25 28.17 4
1 223 -25.45 28.1 4
1 230 -23.21 43.4 4
1 237 41.11 -8.36 3
1 241 37.13 -3.41 3
1 245 41.23 2.11 3
1 253 42.3 1.31 3
1 265 48.05 -1.41 3
1 271 47.19 5.01 3
1 273 48.35 7.45 3
1 275 50.38 5.34 3
1 279 51.13 4.25 3
1 284 53.13 6.33 3
1 286 50.43 -1.54 3
1 291 52.3 -1.5 3
1 300 57.1 -2.04 3
1 308 64.09 -21.51 3
1 309 64.11 -51.44 5
1 320 59.55 10.45 3
