1 2 64.51 -147.43 3
1 7 51.03 -114.05 3
1 8 50.25 -104.39 3
1 16 44.39 -63.36 3
1 17 47.34 -52.43 3
1 22 34.03 -118.15 3
1 23 32.43 -117.09 3
1 31 41.16 -95.57 3
1 32 39.07 -94.39 3
1 33 35.28 -97.32 3
1 35 29.46 -95.22 3
1 40 29.58 -90.07 3
1 41 42.2 -83.03 3
1 42 40.26 -80 3
1 49 30.2 -81.4 3
1 55 22.13 -97.51 3
1 60 19.2 -96.4 3
1 61 16.51 -99.55 3
1 63 17.59 -92.55 3
1 67 13.42 -89.12 3
1 70 9.56 -84.05 3
1 71 8.58 -79.32 3
1 72 23.08 -82.22 3
1 73 22.24 -79.58 3
1 75 18 -76.48 3
1 78 18.28 -66.07 3
1 81 10.39 -61.31 5
1 82 12.06 -68.56 5
1 85 6.48 -58.1 5
1 86 10.3 -66.56 5
1 90 4.36 -74.05 5
1 91 3.27 -76.31 5
1 93 -0.13 -78.3 5
1 97 -8.07 -79.02 5
1 98 -12.03 -77.03 5
1 100 -16.24 -71.33 5
1 105 -33.27 -70.4 5
1 108 -51.42 -57.51 5
1 109 -38.43 -62.17 5
1 116 -26.49 -65.13 5
1 121 -23.32 -46.37 5
1 122 -22.54 -43.14 5
1 124 -19.55 -43.56 5
1 126 -15.35 -56.05 5
1 128 -15.47 -47.55 5
1 130 -8.03 -34.54 5
1 133 -5.05 -42.49 5
1 134 -2.31 -44.16 5
1 141 31.38 -8 1
1 144 34.05 -4.57 1
1 146 35.43 -0.43 1
1 147 36.47 3.03 1
1 151 34.44 10.46 1
1 152 32.54 13.11 1
1 157 30.03 31.15 4
1 170 16.46 -3.01 1
1 174 8.3 -13.15 1
1 175 6.18 -10.47 1
1 178 5.33 -0.13 1
1 186 6.27 3.24 1
1 192 0.23 9.27 4
1 196 -5.54 22.25 4
1 197 0.3 25.12 4
1 198 -3.23 29.22 4
1 199 -1.57 30.04 4
1 210 -15.25 28.17 4
1 211 -20.09 28.36 4
1 212 -17.5 31.03 4
1 213 -15.47 35 4
1 215 -25.58 32.35 4
1 217 -37.15 -12.3 5
1 218 -22.59 14.31 4
1 225 -29.55 30.56 4
1 230 -18.55 47.31 4
1 232 -20.1 57.3 4
1 235 38.43 -9.08 1
1 236 41.11 -8.36 1
1 241 37.53 -4.46 1
1 243 39.28 -0.22 1
1 250 38.54 1.26 1
1 253 44.5 -0.34 1
1 256 43.42 7.15 1
1 259 45.5 1.16 1
1 260 45.26 4.24 1
1 264 48.05 -1.41 1
1 267 49.3 0.08 1
1 268 48.52 2.2 1
1 270 47.19 5.01 1
1 271 48.41 6.12 1
1 274 50.38 5.34 1
1 278 51.13 4.25 1
1 280 51.55 4.28 1
1 285 50.43 -1.54 1
1 290 52.3 -1.5 1
1 291 53.25 -2.55 1
1 293 53.23 -1.3 1
1 299 57.1 -2.04 1
1 302 51.54 -8.28 1
1 303 52.4 -8.38 1
1 304 53.2 -6.15 1
1 306 55 -7.19 1
1 307 64.09 -21.51 1
1 309 76.34 -68.47 3
1 314 60.27 22.17 1
1 315 60.1 24.58 1
1 318 58.58 5.45 1
1 320 57.43 11.58 1
1 321 55.36 13 1
1 323 59.2 18.03 1
1 328 53.04 8.49 1
1 335 52.31 13.24 1
1 338 50.56 6.59 1
1 340 51.17 7.17 1
1 346 50.58 11.01 1
1 349 50.5 12.55 1
1 353 49.25 8.43 1
1 362 46.57 7.26 1
1 365 47.16 11.24 1
1 366 47.48 13.02 1
1 368 48.13 16.2 1
1 374 45.4 13.46 1
1 376 44.29 11.2 1
1 390 54.23 18.4 1
1 391 53.08 18 1
1 398 50.03 19.58 1
1 399 51.15 22.35 1
1 400 49.45 13.23 1
1 403 49.12 16.37 1
1 404 48.09 17.07 1
1 405 48.43 21.15 1
1 406 47.3 19.05 1
1 407 47.32 21.38 1
1 410 45.45 21.13 1
1 414 45.39 25.37 1
1 415 44.26 26.06 1
1 417 46.03 14.31 1
1 419 45.48 15.58 1
1 421 43.52 18.25 1
1 422 44.5 20.3 1
1 428 43.13 27.55 1
1 432 38.15 21.44 1
1 433 37.58 23.43 1
1 438 59.55 30.15 1
1 439 59.25 24.45 1
1 441 54.43 20.3 1
1 443 53.54 27.34 1
1 444 49.5 24 1
1 453 48.27 34.59 1
1 458 41.43 44.49 4
1 459 40.11 44.3 4
1 463 67.27 63.58 4
1 470 41.2 69.18 4
1 471 39.4 66.48 4
1 472 38.35 68.48 4
1 475 47.55 106.53 2
1 480 59.34 150.48 2
1 485 43.1 131.56 2
1 488 39.56 32.52 1
1 491 39.55 41.17 4
1 492 37.55 40.14 4
1 494 36.12 37.1 4
1 496 33.3 36.18 4
1 497 33.53 35.3 4
1 501 31.46 35.14 4
1 502 24.28 39.36 4
1 503 21.3 39.12 4
1 504 21.27 39.49 4
1 506 14.48 42.57 4
1 507 12.45 45.12 4
1 508 14.32 49.08 4
1 509 23.37 58.35 4
1 511 25.17 51.32 4
1 513 24.38 46.43 4
1 514 29.2 47.59 4
1 520 37.16 49.36 4
1 525 29.36 52.32 4
1 526 30.17 57.05 4
1 527 36.18 59.36 4
1 530 34.31 69.12 4
1 532 31.35 74.18 4
1 536 27.42 68.52 4
1 537 25.22 68.22 4
1 544 25.2 83 4
1 548 21.09 79.06 4
1 549 20.3 85.5 4
1 552 17.42 83.18 4
1 557 9.56 78.07 4
1 558 6.56 79.51 4
1 565 18.47 98.59 2
1 566 19.52 102.08 2
1 570 16.04 108.13 2
1 573 13.45 100.31 2
1 575 3.1 101.42 2
1 580 -6.1 106.48 2
1 583 -7.15 112.45 2
1 584 -8.39 115.13 2
1 586 -3.2 114.35 2
1 587 1.33 110.2 2
1 588 4.56 114.55 2
1 593 -5.4 132.45 2
1 594 7.04 125.36 2
1 598 22.17 114.09 2
1 599 22.38 120.17 2
1 610 32.03 118.47 2
1 612 34.48 113.39 2
1 617 38.53 121.35 2
1 622 35.06 129.03 2
1 624 39.43 140.07 2
1 629 35 135.45 2
1 630 34.4 135.3 2
1 633 31.36 130.33 2
1 634 26.13 127.4 2
1 635 13.28 144.47 2
1 636 -2.32 140.42 2
1 638 -9.3 147.1 2
1 639 -12.28 130.5 2
1 641 -34.55 138.35 2
1 642 -37.49 144.58 2
1 643 -42.53 147.19 2
1 645 -27.28 153.02 2
1 647 -23.42 133.53 2
1 648 -45.52 170.3 2
