1 2 861.563 954.019 3
1 7 476.864 203.976 2
1 8 406.271 601.839 1
1 16 125.872 536.987 4
1 17 563.237 20.7366 2
1 22 404.171 942.218 1
1 23 15.771 614.642 4
1 31 489.418 957.946 1
1 32 817.106 281.12 2
1 33 332.771 466.52 4
1 35 168.54 974.806 1
1 40 156.444 178.995 4
1 41 140.141 704.084 1
1 42 963.235 442.629 2
1 49 511.528 60.4103 2
1 55 421.545 669.856 1
1 60 764.19 227.841 2
1 61 489.34 885.471 1
1 63 195.225 821.483 1
1 67 327.208 868.8 1
1 70 156.993 187.479 4
1 71 186.101 903.489 1
1 72 745.996 818.744 3
1 73 672.67 141.516 2
1 75 298.827 796.84 1
1 78 370.272 274.581 4
1 81 748.357 537.031 3
1 82 486.979 88.5907 2
1 85 972.905 220.419 2
1 86 40.56 259.589 4
1 90 494.944 163.27 2
1 91 525.118 681.256 1
1 93 775.205 181.054 2
1 97 1.94865 712.335 1
1 98 730.64 446.995 2
1 100 377.453 863.505 1
1 105 755.117 581.702 3
1 108 569.788 359.946 2
1 109 505.772 795.094 1
1 116 175.187 551.629 4
1 121 618.453 808.454 3
1 122 284.623 905.817 1
1 124 942.046 733.577 3
1 126 153.759 230.999 4
1 128 232.085 588.069 1
1 130 959.404 382.332 2
1 133 734.709 76.166 2
1 134 844.594 856.238 3
1 141 449.959 883.516 1
1 144 429.87 229.253 4
1 146 578.122 545.104 3
1 147 541.69 818.375 1
1 151 485.894 5.4797 2
1 152 134 228.874 4
1 157 456.946 809.262 1
1 170 850.689 321.301 2
1 174 417.205 194.188 4
1 175 884.474 559.131 3
1 178 669.764 662.314 3
1 186 23.8826 240.295 4
1 192 547.387 204.852 2
1 196 85.7052 33.6732 4
1 197 904.883 126.216 2
1 198 87.5416 389.28 4
1 199 21.9732 102.51 4
1 210 134.598 416.191 4
1 211 759.957 814.02 3
1 212 44.5069 940.863 1
1 213 244.594 473.987 4
1 215 228.193 537.552 4
1 217 881.955 436.361 2
1 218 680.574 156.194 2
1 225 762.214 751.456 3
1 230 814.209 436.493 2
1 232 607.013 13.6116 2
1 235 175.856 408.861 4
1 236 344.656 388.185 4
1 241 980.725 735.09 3
1 243 195.262 304.483 4
1 250 415.46 823.742 1
1 253 512.472 906.526 1
1 256 599.164 619.972 3
1 259 809.911 758.316 3
1 260 260.672 213.383 4
1 264 667.645 810.279 3
1 267 93.5555 531.101 4
1 268 818.774 606.902 3
1 270 231.083 960.553 1
1 271 683.546 930.491 3
1 274 452.184 663.382 1
1 278 152.733 951.553 1
1 280 775.352 780.347 3
1 285 314.339 438.079 4
1 290 786.058 432.582 2
1 291 995.164 77.7478 2
1 293 890.36 307.257 2
1 299 414.131 748.199 1
1 302 732.088 320.501 2
1 303 334.192 594.83 1
1 304 561.254 14.0532 2
1 306 451.636 797.971 1
1 307 197.287 1.98716 4
1 309 747.866 360.265 2
1 314 257.178 178.95 4
1 315 233.293 789.181 1
1 318 438.962 136.901 4
1 320 920.634 460.336 2
1 321 950.473 33.9817 2
1 323 826.839 234.883 2
1 328 500.418 885.256 1
1 335 225.447 556.169 4
1 338 463.399 711.7 1
1 340 257.615 814.539 1
1 346 286.889 436.077 4
1 349 407.053 857.824 1
1 353 609.907 714.945 3
1 357 517.93 649.464 1
1 358 235.387 41.3129 4
1 359 603.56 723.736 3
1 361 498.328 926.571 1
1 364 582.097 75.6071 2
1 365 214.744 82.1886 4
1 375 961.419 413.034 2
1 376 825.413 709.361 3
1 381 738.931 820.767 3
1 382 274.222 258.428 4
1 383 82.5408 643.565 1
1 386 778.131 902.453 3
1 387 885.712 666.382 3
1 388 26.8873 163.883 4
1 389 741.314 972.935 3
1 390 165.76 712.313 1
1 392 927.385 899.534 3
1 395 367.23 863.354 1
2 0 435.841 587.522 2
2 1 602.539 801.704 1
2 3 444.217 553.301 2
2 5 88.9064 838.954 2
2 6 233.569 850.798 2
2 9 954.573 785.053 1
2 11 946.1 432.995 4
2 13 861.254 754.12 1
2 15 963.227 965.824 1
2 18 55.259 619.092 2
2 19 691.414 576.653 1
2 27 828.34 584.111 1
2 28 49.6047 40.6059 3
2 29 271.361 736.904 2
2 36 806.139 537.748 1
2 37 445.404 306.86 3
2 38 306.696 552.626 2
2 39 555.492 359.315 4
2 45 931.464 198.146 4
2 51 870.562 747.862 1
2 52 126.307 27.0835 3
2 58 486.626 987.924 1
2 59 547.886 870.165 1
2 66 132.524 507.626 2
2 68 267.929 788.352 2
2 80 800.35 158.589 4
2 89 316.686 311.822 3
2 94 109.477 27.3525 3
2 95 653.011 671.869 1
2 96 628.285 197.058 4
2 101 258.125 251.372 3
2 103 700.979 439.308 4
2 110 692.786 475.055 4
2 112 433.068 854.106 2
2 115 756.359 997.073 1
2 118 127.313 986.134 2
2 120 368.488 322.474 3
2 123 347.487 932.543 2
2 129 439.629 819.344 2
2 131 659.332 989.174 1
2 136 359.094 688.825 2
2 140 840.931 757.357 1
2 148 509.211 164.053 3
2 150 101.219 820.45 2
2 155 267.979 69.0196 3
2 158 217.245 20.1127 3
2 161 310.765 220.815 3
2 164 257.714 332.927 3
2 166 176.011 611.721 2
2 167 560.389 331.015 4
2 169 852.354 420.312 4
2 171 745.771 57.0821 4
2 177 262.003 425.604 3
2 179 420.178 34.4287 3
2 180 424.972 239.973 3
2 183 180.64 963.276 2
2 187 701.018 43.4543 4
2 189 190.116 9.77048 3
2 191 331.085 8.82753 3
2 193 776.794 291.288 4
2 201 205.641 477.219 2
2 202 486.743 625.481 1
2 203 372.177 77.9249 3
2 207 889.914 107.701 4
2 208 636.977 852.552 1
2 209 382.491 96.1738 3
2 222 853.959 621.638 1
2 224 272.482 202.425 3
2 229 32.4988 938.751 2
2 234 769.072 182.917 4
2 237 227.183 343.604 3
2 244 543.707 996.057 1
2 246 256.513 606.643 2
2 247 805.435 372.793 4
2 249 818.209 629.891 1
2 251 203.288 280.22 3
2 252 325.896 907.59 2
2 254 826.909 802.719 1
2 258 360.033 175.038 3
2 263 606.972 355.066 4
2 275 384.806 812.568 2
2 281 178.085 519.553 2
2 282 988.743 256.46 4
2 284 236.126 494.214 2
2 286 273.595 173.028 3
2 289 540.007 528.659 1
2 292 509.984 834.341 1
2 295 473.917 22.3053 3
2 300 236.206 683.44 2
2 305 33.0116 545.758 2
2 308 236.339 400.124 3
2 312 344.638 230.393 3
2 313 754.786 929.344 1
2 322 123.803 911.149 2
2 324 967.716 166.523 4
2 325 763.859 558.636 1
2 327 189.042 621.271 2
2 330 6.13562 122.624 3
2 331 680.526 979.535 1
2 339 99.6077 192.347 3
2 341 42.8894 926.489 2
2 342 172.907 173.232 3
2 345 2.99018 973.272 2
2 348 382.173 228.74 3
2 352 891.084 771.611 1
2 355 6.5945 196.999 3
2 356 122.621 436.923 3
2 360 910.373 948.618 1
2 362 548.665 952.849 1
2 363 779.11 99.0186 4
2 366 560.439 622.937 1
2 367 693.672 555.594 1
2 368 90.496 16.7955 3
2 369 760.5 411.841 4
2 370 626.521 526.724 1
2 371 995.853 234.577 4
2 372 918.947 876.684 1
2 373 989.579 47.3211 4
