1 3 444.217 553.301 5
1 6 233.569 850.798 1
1 7 476.864 203.976 3
1 11 946.1 432.995 3
1 13 861.254 754.12 2
1 18 55.259 619.092 1
1 19 691.414 576.653 2
1 21 583.448 609.201 5
1 26 913.249 428.902 3
1 27 828.34 584.111 2
1 30 979.153 716.97 2
1 38 306.696 552.626 1
1 44 385.534 487.846 1
1 56 699.395 641.832 2
1 64 171.854 111.942 4
1 69 792.919 136.517 3
1 71 186.101 903.489 1
1 72 745.996 818.744 2
1 78 370.272 274.581 4
1 85 972.905 220.419 3
1 86 40.56 259.589 4
1 87 192.47 292.712 4
1 91 525.118 681.256 5
1 92 835.669 882.708 2
1 94 109.477 27.3525 4
1 95 653.011 671.869 5
1 97 1.94865 712.335 1
1 99 580.371 933.465 5
1 102 659.297 693.415 5
1 108 569.788 359.946 3
1 110 692.786 475.055 3
1 112 433.068 854.106 5
1 114 326.41 615.676 1
1 121 618.453 808.454 5
1 124 942.046 733.577 2
1 133 734.709 76.166 3
1 135 10.2508 829.527 1
1 137 901.1 207.153 3
1 142 725.65 402.263 3
1 148 509.211 164.053 3
1 152 134 228.874 4
1 162 2.19756 25.8493 4
1 163 135.318 579.262 1
1 164 257.714 332.927 4
1 166 176.011 611.721 1
1 171 745.771 57.0821 3
1 175 884.474 559.131 2
1 186 23.8826 240.295 4
1 187 701.018 43.4543 3
1 191 331.085 8.82753 4
1 195 172.306 772.747 1
1 204 117.937 480.467 1
1 206 879.339 967.331 2
1 209 382.491 96.1738 4
1 211 759.957 814.02 2
1 213 244.594 473.987 1
1 216 645.769 36.6176 3
1 220 963.481 584.969 2
1 221 312.678 611.344 1
1 222 853.959 621.638 2
1 223 518.363 989.629 5
1 226 648.783 603.79 5
1 229 32.4988 938.751 1
1 230 814.209 436.493 3
1 231 291.053 292.049 4
1 234 769.072 182.917 3
1 235 175.856 408.861 4
1 239 25.5217 669.796 1
1 241 980.725 735.09 2
1 256 599.164 619.972 5
1 259 809.911 758.316 2
1 263 606.972 355.066 3
1 264 667.645 810.279 5
1 266 746.32 56.0444 3
1 267 93.5555 531.101 1
1 268 818.774 606.902 2
1 270 231.083 960.553 1
1 274 452.184 663.382 5
1 277 52.5835 271.001 4
1 279 808.889 763.527 2
1 283 114.258 377.412 4
1 288 6.42906 353.95 4
1 293 890.36 307.257 3
1 297 91.7265 661.356 1
1 299 414.131 748.199 5
1 300 236.206 683.44 1
1 303 334.192 594.83 1
1 306 451.636 797.971 5
1 308 236.339 400.124 4
1 309 747.866 360.265 3
1 314 257.178 178.95 4
1 315 233.293 789.181 1
1 316 109.638 555.178 1
1 317 818.496 388.539 3
1 322 123.803 911.149 1
1 324 967.716 166.523 3
1 326 477.087 834.773 5
1 327 189.042 621.271 1
1 334 494.045 199.61 3
1 337 559.929 171.432 3
1 340 257.615 814.539 1
1 343 483.206 814.332 5
1 346 286.889 436.077 4
1 347 34.4571 282.052 4
1 349 407.053 857.824 5
1 354 800.506 368.529 3
1 355 6.5945 196.999 4
1 359 603.56 723.736 5
1 360 910.373 948.618 2
1 362 548.665 952.849 5
1 365 214.744 82.1886 4
1 367 693.672 555.594 2
1 369 760.5 411.841 3
1 373 989.579 47.3211 3
1 377 827.455 580.479 2
1 383 82.5408 643.565 1
1 384 592.712 764.167 5
1 385 724.782 471.166 3
1 386 778.131 902.453 2
1 387 885.712 666.382 2
1 388 26.8873 163.883 4
1 389 741.314 972.935 2
1 390 165.76 712.313 1
1 391 256.231 126.549 4
1 392 927.385 899.534 2
1 393 524.925 53.7248 3
1 394 72.1925 423.799 4
1 395 367.23 863.354 5
1 396 349.224 799.328 5
1 397 127.116 42.9147 4
1 398 587.637 139.566 3
1 399 22.8315 355.085 4
2 1 602.539 801.704 3
2 5 88.9064 838.954 4
2 8 406.271 601.839 1
2 12 83.0742 601.487 1
2 23 15.771 614.642 1
2 24 20.0806 62.8968 5
2 25 196.656 613.862 1
2 28 49.6047 40.6059 5
2 29 271.361 736.904 4
2 31 489.418 957.946 4
2 34 278.353 945.623 4
2 36 806.139 537.748 3
2 37 445.404 306.86 1
2 43 460.829 255.503 2
2 46 279.893 896.021 4
2 47 331.283 923.481 4
2 49 511.528 60.4103 2
2 50 232.874 327.742 1
2 52 126.307 27.0835 5
2 53 25.7158 384.711 1
2 54 550.99 317.71 2
2 55 421.545 669.856 1
2 57 30.6059 881.315 4
2 59 547.886 870.165 3
2 65 599.164 587.5 3
2 67 327.208 868.8 4
2 68 267.929 788.352 4
2 74 795.061 496.701 3
2 80 800.35 158.589 2
2 81 748.357 537.031 3
2 83 148.737 95.1072 5
2 88 24.0393 509.808 1
2 96 628.285 197.058 2
2 100 377.453 863.505 4
2 101 258.125 251.372 5
2 104 801.207 327.664 2
2 106 168.354 774.785 4
2 107 607.71 673.196 3
2 109 505.772 795.094 3
2 117 207.262 753.08 4
2 118 127.313 986.134 4
2 119 245.176 595.849 1
2 120 368.488 322.474 1
2 122 284.623 905.817 4
2 131 659.332 989.174 3
2 132 475.22 422.92 1
2 134 844.594 856.238 3
2 136 359.094 688.825 4
2 138 607.208 778.844 3
2 139 682.389 84.7105 2
2 140 840.931 757.357 3
2 143 882.698 149.994 2
2 146 578.122 545.104 3
2 147 541.69 818.375 3
2 153 167.243 943.593 4
2 154 156.372 445.891 1
2 156 476.475 711.843 3
2 157 456.946 809.262 4
2 159 165.471 811.813 4
2 160 381.612 457.549 1
2 165 678.108 546.502 3
2 167 560.389 331.015 2
2 168 416.783 521.535 1
2 172 104.725 588.78 1
2 173 64.3447 87.0233 5
2 176 868.707 180.065 2
2 183 180.64 963.276 4
2 184 153.897 253.897 5
2 185 138.308 544.775 1
2 188 951.537 792.325 3
2 190 347.579 997.518 4
2 194 756.586 917.899 3
2 196 85.7052 33.6732 5
2 197 904.883 126.216 2
2 198 87.5416 389.28 1
2 199 21.9732 102.51 5
2 200 417.302 581.199 1
2 202 486.743 625.481 3
2 207 889.914 107.701 2
2 208 636.977 852.552 3
2 210 134.598 416.191 1
2 215 228.193 537.552 1
2 218 680.574 156.194 2
2 225 762.214 751.456 3
2 236 344.656 388.185 1
2 237 227.183 343.604 1
2 240 789.06 180.381 2
2 243 195.262 304.483 5
2 245 557.17 378.511 2
2 248 462.037 417.062 1
2 249 818.209 629.891 3
2 252 325.896 907.59 4
2 257 327.353 384.372 1
2 258 360.033 175.038 5
2 260 260.672 213.383 5
2 261 934.248 685.015 3
2 262 176.023 365.196 1
2 271 683.546 930.491 3
2 276 886.343 4.94442 2
2 280 775.352 780.347 3
2 281 178.085 519.553 1
2 284 236.126 494.214 1
2 287 49.9968 742.733 4
2 289 540.007 528.659 3
2 291 995.164 77.7478 2
2 295 473.917 22.3053 2
2 298 616.789 748.507 3
2 307 197.287 1.98716 5
2 310 430.779 816.476 4
2 311 21.823 256.845 5
2 312 344.638 230.393 5
